आ	+0	1	+	4674611	\N
आव	+0	2	+	4674612	\N
इ	+0	1	+	4648061	\N
इन	+0	2	+	4674612	\N
ई	+0	1	+	4674743	\N
उठ	+0	1	+	4674615	\N
ए	+0	2	+	4674737	\N
एक	+0	1	+	4674603	\N
क	+0	15	+	4674601	\N
कन	+0	1	+	4674739	\N
कप	+0	1	+	4674603	\N
कर	+0	2	+	4674620	\N
ख	+0	3	+	4674624	\N
खण	+0	1	+	4674618	\N
ग	+0	1	+	4648047	\N
गर	+0	1	+	4674595	\N
घ	+0	2	+	4648070	\N
च	+0	7	+	4648070	\N
छ	+0	4	+	4648046	\N
छन	+0	2	+	4648061	\N
ज	+0	4	+	4674606	\N
जब	+0	1	+	4674616	\N
जर	+0	2	+	4674624	\N
ठ	+0	2	+	4674741	\N
ड	+0	3	+	4674624	\N
त	+0	16	+	4674606	\N
तब	+0	1	+	4648061	\N
तर	+0	1	+	4674737	\N
द	+0	8	+	4674616	\N
दगड	+0	1	+	4648046	\N
न	+0	7	+	4648050	\N
प	+0	1	+	4674611	\N
पत	+0	1	+	4648054	\N
पर	+0	1	+	4674595	\N
फ	+0	3	+	4674621	\N
ब	+0	1	+	4674616	\N
भ	+0	5	+	4674601	\N
भक	+0	1	+	4674628	\N
म	+0	14	+	4648061	\N
मदद	+0	1	+	4648044	\N
मन	+0	1	+	4674628	\N
मर	+0	1	+	4648070	\N
य	+0	16	+	4674624	\N
र	+0	12	+	4674626	\N
ल	+0	4	+	4674628	\N
लग	+0	1	+	4674601	\N
व	+0	10	+	4648062	\N
श	+0	5	+	4674744	\N
स	+0	4	+	4674611	\N
सकद	+0	1	+	4648052	\N
सच	+0	1	+	4648049	\N
सहमत	+0	1	+	4648050	\N
ह	+0	3	+	4648047	\N
