अ	+0	8	+	3628691	\N
अउ	+0	1	+	3630014	\N
अउर	+0	4	+	3627684	\N
अक	+0	4	+	3627904	\N
अजय	+0	1	+	3630125	\N
अध	+0	1	+	3380683	\N
अन	+0	2	+	3628001	\N
अप	+0	1	+	3630074	\N
अमर	+0	2	+	3627954	\N
अर	+0	7	+	3628207	\N
अरब	+0	1	+	3628696	\N
अल	+0	2	+	3630077	\N
अलज	+0	1	+	3629997	\N
अहइ	+0	3	+	3628193	\N
अहउ	+0	5	+	3627834	\N
अहमद	+0	1	+	3630027	\N
आ	+0	3	+	3627552	\N
आइर	+0	1	+	3628695	\N
आक	+0	1	+	3628692	\N
आज	+0	1	+	3630131	\N
आन	+0	1	+	3628596	\N
आपन	+0	5	+	3627896	\N
आय	+0	1	+	3627568	\N
आर	+0	1	+	3630007	\N
आवत	+0	1	+	3630074	\N
आस	+0	3	+	3630008	\N
आहक	+0	1	+	3380683	\N
इ	+0	17	+	3630046	\N
इटल	+0	4	+	3630009	\N
इत	+0	1	+	3630015	\N
इस	+0	2	+	3630029	\N
ई	+0	4	+	2666600	\N
उ	+0	51	+	3630016	\N
उए	+0	1	+	3629998	\N
उड	+0	2	+	3628628	\N
उहइ	+0	1	+	3949898	\N
ऊ	+0	5	+	2666631	\N
एइस	+0	1	+	3630108	\N
एक	+0	14	+	2666600	\N
एन	+0	1	+	3630014	\N
ओक	+0	2	+	3628256	\N
ओकर	+0	11	+	3949898	\N
ओर	+0	1	+	3627551	\N
क	+0	92	+	3630119	\N
कउन	+0	1	+	3949966	\N
कछ	+0	1	+	3628705	\N
कण	+0	1	+	3627552	\N
कन	+0	1	+	3627541	\N
कम	+0	1	+	3628193	\N
कर	+0	4	+	3627821	\N
करइ	+0	1	+	3628712	\N
करन	+0	1	+	3627552	\N
कल	+0	1	+	3627565	\N
कस	+0	2	+	3630014	\N
कह	+0	2	+	3630108	\N
ख	+0	27	+	3628690	\N
खतम	+0	1	+	3628172	\N
खतरन	+0	1	+	3630121	\N
ग	+0	18	+	3628686	\N
गएस	+0	1	+	3630076	\N
गत	+0	1	+	3628176	\N
गर	+0	1	+	3630125	\N
गव	+0	3	+	3630126	\N
घर	+0	10	+	3627997	\N
च	+0	5	+	3628003	\N
चलत	+0	1	+	2666607	\N
छ	+0	4	+	3630075	\N
ज	+0	36	+	3630000	\N
जन	+0	8	+	3628599	\N
जर	+0	9	+	3628203	\N
जव	+0	1	+	3949956	\N
ट	+0	50	+	3630008	\N
टक	+0	1	+	3627552	\N
टन	+0	1	+	3628692	\N
टर	+0	1	+	3628701	\N
टरक	+0	1	+	3630004	\N
ठ	+0	1	+	2666570	\N
ठउर	+0	5	+	3628625	\N
ड	+0	9	+	3628180	\N
डन	+0	1	+	3628690	\N
त	+0	42	+	3630001	\N
तलक	+0	1	+	3630132	\N
थ	+0	2	+	3628206	\N
द	+0	43	+	3630132	\N
दक	+0	1	+	3627568	\N
दरर	+0	1	+	3630050	\N
ध	+0	1	+	3628194	\N
धरम	+0	1	+	3628694	\N
न	+0	130	+	3629998	\N
नग	+0	10	+	3627876	\N
नट	+0	1	+	3630109	\N
नड	+0	1	+	3627540	\N
नद	+0	1	+	3627969	\N
नफ	+0	1	+	3628628	\N
नर	+0	42	+	3627939	\N
प	+0	18	+	3628163	\N
पव	+0	1	+	3627897	\N
पस	+0	1	+	3627886	\N
पसन	+0	10	+	3627894	\N
पह	+0	2	+	3630007	\N
फ	+0	9	+	3627545	\N
फरश	+0	1	+	3630026	\N
ब	+0	34	+	3628209	\N
बउ	+0	1	+	3630131	\N
बड	+0	21	+	3628251	\N
बन	+0	1	+	3630117	\N
बह	+0	10	+	3627974	\N
भ	+0	20	+	3627851	\N
भव	+0	5	+	3627685	\N
म	+0	105	+	3627542	\N
मइ	+0	14	+	3627939	\N
मछर	+0	1	+	3628228	\N
मनई	+0	1	+	3627897	\N
मसह	+0	10	+	3628188	\N
मह	+0	2	+	3627552	\N
य	+0	29	+	3628208	\N
यन	+0	5	+	3628215	\N
र	+0	83	+	3630018	\N
रकत	+0	3	+	3630131	\N
रज	+0	1	+	3628249	\N
रत	+0	8	+	3628164	\N
रन	+0	1	+	3628628	\N
रल	+0	1	+	3627545	\N
रव	+0	1	+	3630117	\N
रह	+0	22	+	3628203	\N
रहत	+0	1	+	3630117	\N
ल	+0	34	+	3627905	\N
व	+0	10	+	3630005	\N
वर	+0	2	+	3628604	\N
वरन	+0	5	+	3628593	\N
श	+0	10	+	3627538	\N
ष	+0	2	+	3628693	\N
स	+0	95	+	3627942	\N
सउन	+0	1	+	3630050	\N
सचम	+0	1	+	3628003	\N
सन	+0	1	+	3630014	\N
सपन	+0	1	+	3627876	\N
सबह	+0	1	+	3628001	\N
समइ	+0	9	+	3628180	\N
सर	+0	1	+	3627889	\N
सहर	+0	4	+	3627964	\N
ह	+0	197	+	3627894	\N
हइदर	+0	1	+	3630132	\N
हन	+0	1	+	3628701	\N
हम	+0	2	+	3627922	\N
हर	+0	6	+	3627977	\N
हरर	+0	2	+	3627945	\N
हस	+0	1	+	3949956	\N
१९४८	+0	1	+	3630132	\N
